SiteId,Month,number_of_holidays
54,2016-05,1
54,2016-06,1
54,2016-08,1
54,2016-11,1
54,2016-12,3
54,2017-01,2
54,2017-04,2
54,2017-05,1
54,2017-06,1
54,2017-08,1
54,2017-11,1
54,2017-12,3
57,2015-01,2
57,2015-04,2
57,2015-05,1
57,2015-06,1
57,2015-08,1
57,2015-11,1
57,2015-12,3
57,2016-01,2
57,2016-03,1
57,2016-04,1
57,2016-05,1
57,2016-06,1
57,2016-08,1
57,2016-11,1
57,2016-12,3
57,2017-01,2
57,2017-04,2
57,2017-05,1
57,2017-06,1
57,2017-08,1
57,2017-11,1
57,2017-12,3
58,2015-01,2
58,2015-04,2
58,2015-05,1
58,2015-06,1
58,2015-08,1
58,2015-11,1
58,2015-12,3
58,2016-01,2
58,2016-03,1
58,2016-04,1
58,2016-05,1
58,2016-06,1
58,2016-08,1
58,2016-11,1
58,2016-12,3
58,2017-01,2
58,2017-04,2
58,2017-05,1
58,2017-06,1
58,2017-08,1
58,2017-11,1
58,2017-12,3
59,2016-01,2
59,2016-03,1
59,2016-04,1
59,2016-05,1
59,2016-06,1
59,2016-08,1
59,2016-11,1
59,2016-12,3
59,2017-01,2
59,2017-04,2
59,2017-05,1
59,2017-06,1
59,2017-08,1
59,2017-11,1
59,2017-12,3
60,2015-01,2
60,2015-04,2
60,2015-05,1
60,2015-06,1
60,2015-08,1
60,2015-11,1
60,2015-12,3
60,2016-01,2
60,2016-03,1
60,2016-04,1
60,2016-05,1
60,2016-06,1
60,2016-08,1
60,2016-11,1
60,2016-12,3
60,2017-01,2
60,2017-04,2
60,2017-05,1
60,2017-06,1
60,2017-08,1
60,2017-11,1
60,2017-12,3
61,2015-01,2
61,2015-04,2
61,2015-05,1
61,2015-06,1
61,2015-08,1
61,2015-11,1
61,2015-12,3
61,2016-01,2
61,2016-03,1
61,2016-04,1
61,2016-05,1
61,2016-06,1
61,2016-08,1
61,2016-11,1
61,2016-12,3
61,2017-01,2
61,2017-04,2
61,2017-05,1
61,2017-06,1
61,2017-08,1
61,2017-11,1
61,2017-12,3
62,2015-01,2
62,2015-04,2
62,2015-05,1
62,2015-06,1
62,2015-08,1
62,2015-11,1
62,2015-12,3
62,2016-01,2
62,2016-03,1
62,2016-04,1
62,2016-05,1
62,2016-06,1
62,2016-08,1
62,2016-11,1
62,2016-12,3
62,2017-01,2
62,2017-04,2
62,2017-05,1
62,2017-06,1
62,2017-08,1
62,2017-11,1
62,2017-12,3
63,2015-01,2
63,2015-04,2
63,2015-05,1
63,2015-06,1
63,2015-08,1
63,2015-11,1
63,2015-12,3
63,2016-01,2
63,2016-03,1
63,2016-04,1
63,2016-05,1
63,2016-06,1
63,2016-08,1
63,2016-11,1
63,2016-12,3
63,2017-01,2
63,2017-04,2
63,2017-05,1
63,2017-06,1
63,2017-08,1
63,2017-11,1
63,2017-12,3
64,2016-01,2
64,2016-03,1
64,2016-04,1
64,2016-05,1
64,2016-06,1
64,2016-08,1
64,2016-11,1
64,2016-12,3
64,2017-01,2
64,2017-04,2
64,2017-05,1
64,2017-06,1
64,2017-08,1
64,2017-11,1
64,2017-12,3
65,2015-01,2
65,2015-04,2
65,2015-05,1
65,2015-06,1
65,2015-08,1
65,2015-11,1
65,2015-12,3
65,2016-01,2
65,2016-03,1
65,2016-04,1
65,2016-05,1
65,2016-06,1
65,2016-08,1
65,2016-11,1
65,2016-12,3
65,2017-01,2
65,2017-04,2
65,2017-05,1
65,2017-06,1
65,2017-08,1
65,2017-11,1
65,2017-12,3
66,2015-01,2
66,2015-04,2
66,2015-05,1
66,2015-06,1
66,2015-08,1
66,2015-11,1
66,2015-12,3
66,2016-01,2
66,2016-03,1
66,2016-04,1
66,2016-05,1
66,2016-06,1
66,2016-08,1
66,2016-11,1
66,2016-12,3
66,2017-01,2
66,2017-04,2
66,2017-05,1
66,2017-06,1
66,2017-08,1
66,2017-11,1
66,2017-12,3
67,2016-01,2
67,2016-03,1
67,2016-04,1
67,2016-05,1
67,2016-06,1
67,2016-08,1
67,2016-11,1
67,2016-12,3
67,2017-01,2
67,2017-04,2
67,2017-05,1
67,2017-06,1
67,2017-08,1
67,2017-11,1
67,2017-12,3
68,2015-01,2
68,2015-04,2
68,2015-05,1
68,2015-06,1
68,2015-08,1
68,2015-11,1
68,2015-12,3
68,2016-01,2
68,2016-03,1
68,2016-04,1
68,2016-05,1
68,2016-06,1
68,2016-08,1
68,2016-11,1
68,2016-12,3
68,2017-01,2
68,2017-04,2
68,2017-05,1
68,2017-06,1
68,2017-08,1
68,2017-11,1
68,2017-12,3
69,2016-01,2
69,2016-03,1
69,2016-04,1
69,2016-05,1
69,2016-06,1
69,2016-08,1
69,2016-11,1
69,2016-12,3
69,2017-01,2
69,2017-04,2
69,2017-05,1
69,2017-06,1
69,2017-08,1
69,2017-11,1
69,2017-12,3
70,2016-01,1
70,2016-03,1
70,2016-05,4
70,2016-07,1
70,2016-08,1
70,2016-11,2
70,2016-12,1
70,2017-01,1
70,2017-04,1
70,2017-05,3
70,2017-06,1
70,2017-07,1
70,2017-08,1
70,2017-11,2
70,2017-12,1
72,2015-01,2
72,2015-04,2
72,2015-05,1
72,2015-06,1
72,2015-08,1
72,2015-11,1
72,2015-12,3
72,2016-01,2
72,2016-03,1
72,2016-04,1
72,2016-05,1
72,2016-06,1
72,2016-08,1
72,2016-11,1
72,2016-12,3
72,2017-01,2
72,2017-04,2
72,2017-05,1
72,2017-06,1
72,2017-08,1
72,2017-11,1
72,2017-12,3
73,2015-01,2
73,2015-04,2
73,2015-05,1
73,2015-06,1
73,2015-08,1
73,2015-11,1
73,2015-12,3
73,2016-01,2
73,2016-03,1
73,2016-04,1
73,2016-05,1
73,2016-06,1
73,2016-08,1
73,2016-11,1
73,2016-12,3
73,2017-01,2
73,2017-04,2
73,2017-05,1
73,2017-06,1
73,2017-08,1
73,2017-11,1
73,2017-12,3
74,2015-01,2
74,2015-04,2
74,2015-05,1
74,2015-06,1
74,2015-08,1
74,2015-11,1
74,2015-12,3
74,2016-01,2
74,2016-03,1
74,2016-04,1
74,2016-05,1
74,2016-06,1
74,2016-08,1
74,2016-11,1
74,2016-12,3
74,2017-01,2
74,2017-04,2
74,2017-05,1
74,2017-06,1
74,2017-08,1
74,2017-11,1
74,2017-12,3
75,2016-01,2
75,2016-03,1
75,2016-04,1
75,2016-05,1
75,2016-06,1
75,2016-08,1
75,2016-11,1
75,2016-12,3
75,2017-01,2
75,2017-04,2
75,2017-05,1
75,2017-06,1
75,2017-08,1
75,2017-11,1
75,2017-12,3
76,2015-01,2
76,2015-04,2
76,2015-05,1
76,2015-06,1
76,2015-08,1
76,2015-11,1
76,2015-12,3
76,2016-01,2
76,2016-03,1
76,2016-04,1
76,2016-05,1
76,2016-06,1
76,2016-08,1
76,2016-11,1
76,2016-12,3
76,2017-01,2
76,2017-04,2
76,2017-05,1
76,2017-06,1
76,2017-08,1
76,2017-11,1
76,2017-12,3
77,2014-01,1
77,2014-03,1
77,2014-04,3
77,2014-05,1
77,2014-06,1
77,2014-08,1
77,2014-12,2
77,2015-01,1
77,2015-02,1
77,2015-04,3
77,2015-05,1
77,2015-06,1
77,2015-08,1
77,2015-12,2
77,2016-01,1
77,2016-02,1
77,2016-03,2
77,2016-04,1
77,2016-05,1
77,2016-06,1
77,2016-08,1
77,2016-12,2
78,2014-01,1
78,2014-03,1
78,2014-04,3
78,2014-05,1
78,2014-06,1
78,2014-08,1
78,2014-12,2
78,2015-01,1
78,2015-02,1
78,2015-04,3
78,2015-05,1
78,2015-06,1
78,2015-08,1
78,2015-12,2
78,2016-01,1
78,2016-02,1
78,2016-03,2
78,2016-04,1
78,2016-05,1
78,2016-06,1
78,2016-08,1
78,2016-12,2
83,2015-01,2
83,2015-04,2
83,2015-05,1
83,2015-06,1
83,2015-08,1
83,2015-11,1
83,2015-12,3
83,2016-01,2
83,2016-03,1
83,2016-04,1
83,2016-05,1
83,2016-06,1
83,2016-08,1
83,2016-11,1
83,2016-12,3
83,2017-01,2
83,2017-04,2
83,2017-05,1
83,2017-06,1
83,2017-08,1
83,2017-11,1
83,2017-12,3
84,2015-01,2
84,2015-04,2
84,2015-05,1
84,2015-06,1
84,2015-08,1
84,2015-11,1
84,2015-12,3
84,2016-01,2
84,2016-03,1
84,2016-04,1
84,2016-05,1
84,2016-06,1
84,2016-08,1
84,2016-11,1
84,2016-12,3
84,2017-01,2
84,2017-04,2
84,2017-05,1
84,2017-06,1
84,2017-08,1
84,2017-11,1
84,2017-12,3
85,2015-01,2
85,2015-04,2
85,2015-05,1
85,2015-06,1
85,2015-08,1
85,2015-11,1
85,2015-12,3
85,2016-01,2
85,2016-03,1
85,2016-04,1
85,2016-05,1
85,2016-06,1
85,2016-08,1
85,2016-11,1
85,2016-12,3
85,2017-01,2
85,2017-04,2
85,2017-05,1
85,2017-06,1
85,2017-08,1
85,2017-11,1
85,2017-12,3
86,2014-01,2
86,2014-04,2
86,2014-05,1
86,2014-06,1
86,2014-08,1
86,2014-11,1
86,2014-12,3
86,2015-01,2
86,2015-04,2
86,2015-05,1
86,2015-06,1
86,2015-08,1
86,2015-11,1
86,2015-12,3
86,2016-01,2
86,2016-03,1
86,2016-04,1
86,2016-05,1
86,2016-06,1
86,2016-08,1
86,2016-11,1
86,2016-12,3
86,2017-01,2
86,2017-04,2
86,2017-05,1
86,2017-06,1
86,2017-08,1
86,2017-11,1
86,2017-12,3
87,2014-01,2
87,2014-04,2
87,2014-05,1
87,2014-06,1
87,2014-08,1
87,2014-11,1
87,2014-12,3
87,2015-01,2
87,2015-04,2
87,2015-05,1
87,2015-06,1
87,2015-08,1
87,2015-11,1
87,2015-12,3
87,2016-01,2
87,2016-03,1
87,2016-04,1
87,2016-05,1
87,2016-06,1
87,2016-08,1
87,2016-11,1
87,2016-12,3
87,2017-01,2
87,2017-04,2
87,2017-05,1
87,2017-06,1
87,2017-08,1
87,2017-11,1
87,2017-12,3
88,2015-01,2
88,2015-04,2
88,2015-05,1
88,2015-06,1
88,2015-08,1
88,2015-11,1
88,2015-12,3
88,2016-01,2
88,2016-03,1
88,2016-04,1
88,2016-05,1
88,2016-06,1
88,2016-08,1
88,2016-11,1
88,2016-12,3
88,2017-01,2
88,2017-04,2
88,2017-05,1
88,2017-06,1
88,2017-08,1
88,2017-11,1
88,2017-12,3
89,2015-01,2
89,2015-04,2
89,2015-05,1
89,2015-06,1
89,2015-08,1
89,2015-11,1
89,2015-12,3
89,2016-01,2
89,2016-03,1
89,2016-04,1
89,2016-05,1
89,2016-06,1
89,2016-08,1
89,2016-11,1
89,2016-12,3
89,2017-01,2
89,2017-04,2
89,2017-05,1
89,2017-06,1
89,2017-08,1
89,2017-11,1
89,2017-12,3
90,2015-01,2
90,2015-04,2
90,2015-05,1
90,2015-06,1
90,2015-08,1
90,2015-11,1
90,2015-12,3
90,2016-01,2
90,2016-03,1
90,2016-04,1
90,2016-05,1
90,2016-06,1
90,2016-08,1
90,2016-11,1
90,2016-12,3
90,2017-01,2
90,2017-04,2
90,2017-05,1
90,2017-06,1
90,2017-08,1
90,2017-11,1
90,2017-12,3
92,2015-01,2
92,2015-04,2
92,2015-05,1
92,2015-06,1
92,2015-08,1
92,2015-11,1
92,2015-12,3
92,2016-01,2
92,2016-03,1
92,2016-04,1
92,2016-05,1
92,2016-06,1
92,2016-08,1
92,2016-11,1
92,2016-12,3
92,2017-01,2
92,2017-04,2
92,2017-05,1
92,2017-06,1
92,2017-08,1
92,2017-11,1
92,2017-12,3
93,2014-01,2
93,2014-04,2
93,2014-05,1
93,2014-06,1
93,2014-08,1
93,2014-11,1
93,2014-12,3
93,2015-01,2
93,2015-04,2
93,2015-05,1
93,2015-06,1
93,2015-08,1
93,2015-11,1
93,2015-12,3
93,2016-01,2
93,2016-03,1
93,2016-04,1
93,2016-05,1
93,2016-06,1
93,2016-08,1
93,2016-11,1
93,2016-12,3
93,2017-01,2
93,2017-04,2
93,2017-05,1
93,2017-06,1
93,2017-08,1
93,2017-11,1
93,2017-12,3
94,2015-01,2
94,2015-04,2
94,2015-05,1
94,2015-06,1
94,2015-08,1
94,2015-11,1
94,2015-12,3
94,2016-01,2
94,2016-03,1
94,2016-04,1
94,2016-05,1
94,2016-06,1
94,2016-08,1
94,2016-11,1
94,2016-12,3
94,2017-01,2
94,2017-04,2
94,2017-05,1
94,2017-06,1
94,2017-08,1
94,2017-11,1
94,2017-12,3
96,2015-01,2
96,2015-04,2
96,2015-05,1
96,2015-06,1
96,2015-08,1
96,2015-11,1
96,2015-12,3
96,2016-01,2
96,2016-03,1
96,2016-04,1
96,2016-05,1
96,2016-06,1
96,2016-08,1
96,2016-11,1
96,2016-12,3
96,2017-01,2
96,2017-04,2
96,2017-05,1
96,2017-06,1
96,2017-08,1
96,2017-11,1
96,2017-12,3
